product_handle,namespace,key,type,value
n64-replacement-controller,custom,audit_status,single_line_text_field,verified
gamecube-controller-adapter,custom,audit_status,single_line_text_field,verified
snes-usb-controller-adapter,custom,audit_status,single_line_text_field,verified
bluetooth-receiver-dongle,custom,audit_status,single_line_text_field,verified
controller-extension-cable,custom,audit_status,single_line_text_field,needs_review
replacement-analog-stick,custom,audit_status,single_line_text_field,verified
hdmi-upscaler,custom,audit_status,single_line_text_field,verified
composite-cable,custom,audit_status,single_line_text_field,verified
s-video-cable,custom,audit_status,single_line_text_field,verified
component-cable,custom,audit_status,single_line_text_field,needs_review
scart-adapter,custom,audit_status,single_line_text_field,verified
crt-switch-box,custom,audit_status,single_line_text_field,verified
capture-adapter,custom,audit_status,single_line_text_field,verified
cartridge-cleaning-kit,custom,audit_status,single_line_text_field,verified
console-bit-screwdriver-set,custom,audit_status,single_line_text_field,verified
replacement-save-batteries,custom,audit_status,single_line_text_field,verified
contact-cleaner,custom,audit_status,single_line_text_field,verified
dust-removal-kit,custom,audit_status,single_line_text_field,verified
console-shell-screws,custom,audit_status,single_line_text_field,verified
cartridge-display-stand,custom,audit_status,single_line_text_field,verified
acrylic-display-case,custom,audit_status,single_line_text_field,verified
cartridge-sleeves,custom,audit_status,single_line_text_field,verified
wall-mount,custom,audit_status,single_line_text_field,verified
label-protectors,custom,audit_status,single_line_text_field,verified
console-dust-cover,custom,audit_status,single_line_text_field,verified
n64-revival-kit,custom,audit_status,single_line_text_field,verified
gamecube-party-kit,custom,audit_status,single_line_text_field,verified
snes-crt-setup-kit,custom,audit_status,single_line_text_field,verified
ps2-maintenance-kit,custom,audit_status,single_line_text_field,verified
first-apartment-retro-corner-kit,custom,audit_status,single_line_text_field,verified
ocarina-first-playthrough-kit,custom,audit_status,single_line_text_field,verified
